DateAdded,IoC,Type
02/13/2023,146.59.43.159,ip 
02/13/2023,174.139.150.45,ip 
02/13/2023,45.155.37.170,ip 
02/13/2023,45.77.63.210,ip 
02/13/2023,5.42.221.116,ip 
02/13/2023,85.239.41.55,ip 
02/13/2023,87.236.146.155,ip 
02/13/2023,98.142.254.89,ip 
02/13/2023,780683.dat,filename
02/13/2023,653219.dat,filename
02/13/2023,300332.dat,filename
02/13/2023,760433.dat,filename
02/13/2023,197928.dat,filename
02/13/2023,703558.dat,filename
02/13/2023,553145.dat,filename
02/13/2023,452845.dat,filename
02/13/2023,ozcontests.com,domainname
02/13/2023,qualityrepairatdoor.com,domainname
02/13/2023,sahifatinews.com,domainname
02/13/2023,thetwindollar.com,domainname
02/13/2023,C:\programdata\a4KNkUvB.jpg,filename
02/13/2023,C:\programdata\aA9Qq1dIT.jpg,filename
02/13/2023,C:\programdata\aasXfQxd.jpg,filename
02/13/2023,C:\programdata\aE73B.jpg,filename
02/13/2023,C:\programdata\aEkDSL5.jpg,filename
02/13/2023,C:\programdata\ak05Edj.jpg,filename
02/13/2023,C:\programdata\akTZw8CH.jpg,filename
02/13/2023,C:\programdata\alBkDW.jpg,filename
02/13/2023,C:\programdata\amJ2WLyM.jpg,filename
02/13/2023,C:\programdata\aq8k6x.jpg,filename
02/13/2023,C:\programdata\axFdHm3Q.jpg,filename
02/13/2023,C:\programdata\aYmyWrBC.jpg,filename
02/13/2023,C:\programdata\aZNOz0.jpg,filename
02/13/2023,9019a31723e8dde778639cf5c1eb599bf250d7b6a3a92ba0e3c85b0043644d93,sha265
02/13/2023,9f0c37ff84dd327ff0582104c59478dfc3ac20f7ae5e3c531be5e636f3fea629,sha266
02/13/2023,5fb7f3fac0a9b9ab243ee642a0775500c524166ef075035c9510ccbab76ad633,sha267
02/13/2023,59f42ecde152f78731e54ea27e761bba748c9309a6ad1c2fd17f0e8b90f8aed1,sha268
02/13/2023,3e15f2e2f603d0460b2457cd586fed7ee2e6195bbd39954fd05827d3ec6f4f35,sha269
02/13/2023,37.1.215.220,ip 
02/13/2023,205.204.71.238,ip 
02/13/2023,62.197.48.230,ip 
02/13/2023,185.87.150.108,ip 
02/13/2023,5.45.69.171,ip 
02/13/2023,23.227.194.96,ip 